Prediction,Score,True_Label,Correct
0,-63.91882260162295,0,True
1,-56.19129914682604,1,True
1,-59.90251466387868,1,True
0,-64.2998279422079,0,True
0,-68.79927343687457,1,False
1,-57.93460229379813,1,True
0,-68.86831049386826,0,True
0,-69.66719112815352,1,False
0,-68.48606506683474,0,True
0,-64.93997231978244,1,False
1,-59.106683955275415,1,True
0,-66.87854849721784,0,True
0,-65.84881646155168,0,True
0,-68.88929779449175,0,True
0,-68.40510700301058,0,True
1,-10.4428840734194,1,True
0,-60.966777031376466,0,True
0,-64.51248503370462,0,True
1,-59.106683955275415,1,True
1,-57.89041967294703,0,False
0,-68.65288624727617,1,False
0,-65.12858439710513,1,False
1,-40.989197161834575,1,True
1,-27.66740355891651,1,True
1,-10.359529427477575,0,False
0,-64.01008818971405,1,False
0,-67.29642085010256,1,False
1,-43.07878264446343,1,True
1,-39.999350509809304,0,False
0,-64.2998279422079,0,True
0,-62.99071882357418,1,False
1,-56.62792056987797,1,True
1,-49.51993755416186,1,True
0,-60.80141711777259,0,True
0,-72.10188049215829,0,True
0,-69.9549603623142,0,True
1,-53.562181063958974,1,True
0,-67.57519983148585,0,True
0,-69.74095724669503,0,True
0,-69.91367883415803,1,False
1,-39.56393353962513,1,True
0,-66.3876887996463,0,True
0,-65.84258293748202,0,True
1,-40.989197161834575,1,True
0,-60.34710635331174,0,True
1,-31.843813766870717,1,True
1,-59.99598745234403,1,True
0,-66.86627315028994,0,True
0,-67.24593047795302,0,True
0,-61.164966426068375,0,True
1,-27.04331532797474,1,True
1,-54.78489362950803,0,False
1,-59.40558621631964,1,True
1,-59.106683955275415,1,True
1,-57.93460229379813,1,True
0,-68.53417038341453,0,True
1,-43.07878264446343,1,True
0,-67.46412149427454,1,False
1,-4.777680017903613,1,True
0,-60.14344767650243,0,True
1,-40.989197161834575,1,True
0,-69.50787339907065,0,True
0,-60.58665169555806,0,True
1,-59.106683955275415,1,True
0,-70.68933899993472,0,True
0,-60.44570436939954,1,False
1,-57.93460229379813,1,True
0,-69.89668513389802,0,True
1,-50.12030885397405,0,False
0,-66.81332380464869,0,True
1,-58.06990665756804,1,True
1,-57.39794933270407,0,False
0,-66.46258432216536,0,True
1,-39.61279766525764,1,True
0,-75.57045688947674,0,True
0,-69.64512377357667,1,False
0,-67.0493241815629,0,True
0,-61.18236871485059,0,True
0,-70.15028895897935,0,True
0,-60.590384071318276,0,True
1,-4.777680017903613,1,True
1,-55.59767491848038,0,False
0,-60.66950014627191,0,True
0,-66.02144072650731,0,True
1,-31.843813766870717,1,True
0,-60.58463706898448,0,True
1,-53.562181063958974,1,True
1,-11.212336887989942,1,True
1,-49.51993755416186,1,True
1,-40.989197161834575,1,True
0,-67.29642085010256,1,False
1,-59.90251466387868,1,True
0,-64.93997231978244,1,False
0,-70.10626523267734,0,True
1,-40.827624679733376,0,False
0,-66.77060686977673,0,True
1,-59.12339767905025,0,False
1,-41.50271054197405,0,False
0,-60.86597566852927,0,True
0,-64.0373752752696,0,True
1,-58.335740526176,1,True
1,-0.5094947352312929,0,False
1,-53.562181063958974,1,True
0,-62.35564539226103,1,False
0,-66.9064368429334,1,False
1,-31.843813766870717,1,True
1,-49.51993755416186,1,True
0,-62.99071882357418,1,False
0,-72.26660071533803,0,True
0,-60.44570436939954,1,False
1,-49.2258676114105,0,False
0,-60.090321431872425,1,False
0,-63.78080226703244,0,True
1,-42.06993941535379,1,True
0,-69.79263146291554,1,False
0,-62.99071882357418,1,False
0,-69.95936230606807,0,True
0,-64.93997231978244,1,False
1,-50.64090740990294,0,False
1,-51.65411066624309,1,True
1,-59.106683955275415,1,True
1,-31.843813766870717,1,True
0,-60.57662357572396,0,True
0,-61.73430036773846,0,True
0,-64.2998279422079,0,True
0,-64.93997231978244,1,False
1,-59.106683955275415,1,True
0,-60.44570436939954,1,False
0,-60.18290123763146,1,False
0,-68.60956839562431,0,True
0,-60.548698487557864,0,True
0,-60.553863192994534,0,True
0,-61.73430036773846,0,True
0,-68.38559164000795,0,True
0,-61.56153768014537,0,True
1,-59.9782140308164,0,False
1,-59.740819566219834,0,False
0,-70.16794253678655,0,True
0,-60.44570436939954,1,False
0,-65.88569108811662,0,True
0,-68.87624287417688,0,True
0,-70.82608355619263,0,True
1,-4.777680017903613,1,True
0,-62.99071882357418,1,False
0,-60.04518795608708,0,True
1,-4.777680017903613,1,True
0,-70.6141699672516,0,True
0,-70.38860218307313,0,True
1,-49.51993755416186,1,True
0,-60.322249257850466,0,True
0,-66.31417066039967,1,False
0,-64.2998279422079,0,True
1,-59.106683955275415,1,True
1,-56.19129914682604,1,True
0,-68.31344973128067,0,True
0,-66.31417066039967,1,False
0,-63.70514154775144,0,True
0,-66.80456703861233,0,True
1,-54.03637440353697,0,False
0,-66.2345022739591,0,True
0,-67.83407221814355,1,False
1,-52.322038620354604,1,True
0,-68.28920743062697,1,False
0,-71.19725165171252,0,True
0,-61.4736925644982,1,False
0,-70.632531823829,0,True
1,-59.90251466387868,1,True
0,-68.22295710055988,0,True
0,-65.70546297165254,1,False
1,-43.07878264446343,1,True
0,-60.543906787453245,0,True
0,-64.01008818971405,1,False
0,-60.05166652812331,0,True
1,-40.989197161834575,1,True
0,-60.91046406000246,0,True
0,-69.60253327040294,1,False
1,-53.562181063958974,1,True
0,-70.94482286001421,1,False
1,-59.106683955275415,1,True
1,-59.106683955275415,1,True
0,-60.58559147484293,0,True
1,-54.45033310944635,0,False
1,-57.39794933270407,0,False
1,-59.75438076228908,0,False
1,-56.10112404760141,0,False
0,-64.93997231978244,1,False
0,-61.10532871974491,0,True
1,-26.50923363029242,0,False
0,-64.44981080263976,0,True
0,-60.46984068278885,1,False
1,-59.106683955275415,1,True
0,-61.072340335291265,1,False
0,-62.99071882357418,1,False
0,-70.31278992999297,0,True
0,-66.22525713596083,1,False
